idx,date,Close,MA,MACD,D,RSI,Supported_point,Pressed_point
0,2014-11-03,2.87,-1,-1,-1,-1,{},{}
1,2014-11-04,2.83,-1,2,-1,-1,{},{}
2,2014-11-05,2.8,-1,2,-1,-1,{},{}
3,2014-11-06,2.76,-1,2,-1,-1,{},{}
4,2014-11-07,2.78,-1,2,-1,-1,{},{}
5,2014-11-10,2.76,-1,2,-1,-1,{},{}
6,2014-11-11,2.73,-1,2,-1,0.0,{},{}
7,2014-11-12,2.71,-1,2,-1,0.0,{},{}
8,2014-11-13,2.66,-1,2,0.0,0.0,{},{}
9,2014-11-14,2.61,-1,2,0.0,0.0,{},{}
10,2014-11-17,2.67,-1,3,0.0,1.0,{},{}
11,2014-11-18,2.65,-1,3,0.0,1.0,{},{}
12,2014-11-19,2.63,-1,3,0.0,1.0,{},{}
13,2014-11-20,2.69,-1,3,0.0,2.0,{},{}
14,2014-11-21,2.77,-1,3,1.0,3.0,{},{}
15,2014-11-24,2.83,-1,3,1.0,4.0,{},{}
16,2014-11-25,2.83,-1,3,2.0,4.0,{},{}
17,2014-11-26,2.84,-1,4,2.0,4.0,{},{}
18,2014-11-28,2.79,-1,4,3.0,4.0,{},{}
19,2014-12-01,2.67,-1,4,3.0,2.0,{},{}
20,2014-12-02,2.68,-1,4,2.0,1.0,{},{}
21,2014-12-03,2.74,-1,4,2.0,1.0,{},{}
22,2014-12-04,2.69,-1,4,2.0,1.0,{},{}
23,2014-12-05,2.66,-1,4,2.0,1.0,{},{}
24,2014-12-08,2.58,-1,4,2.0,1.0,{},{}
25,2014-12-09,2.59,-1,3,1.0,1.0,{},{}
26,2014-12-10,2.48,-1,3,1.0,1.0,{},{}
27,2014-12-11,2.49,-1,3,1.0,0.0,{},{}
28,2014-12-12,2.52,-1,3,1.0,0.0,{},{}
29,2014-12-15,2.47,-1,3,1.0,0.0,{},{}
30,2014-12-16,2.5,-1,3,1.0,1.0,{},{}
31,2014-12-17,2.55,-1,3,1.0,2.0,{},{}
32,2014-12-18,2.55,-1,3,1.0,3.0,{},{}
33,2014-12-19,2.57,-1,3,2.0,3.0,{},{}
34,2014-12-22,2.66,-1,3,2.0,3.0,{},{}
35,2014-12-23,2.67,-1,4,3.0,5.0,{},{}
36,2014-12-24,2.65,-1,4,3.0,4.0,{},{}
37,2014-12-26,2.65,-1,4,3.0,4.0,{},{}
38,2014-12-29,2.66,-1,4,3.0,4.0,{},{}
39,2014-12-30,2.63,-1,4,3.0,3.0,{},{}
40,2014-12-31,2.67,-1,4,3.0,2.0,{},{}
41,2015-01-02,2.67,-1,4,3.0,2.0,{},{}
42,2015-01-05,2.66,-1,4,3.0,2.0,{},{}
43,2015-01-06,2.63,-1,4,3.0,2.0,{},{}
44,2015-01-07,2.58,-1,4,3.0,1.0,{},{}
45,2015-01-08,2.61,-1,4,2.0,2.0,{},{}
46,2015-01-09,2.63,-1,4,2.0,1.0,{},{}
47,2015-01-12,2.63,-1,4,2.0,1.0,{},{}
48,2015-01-13,2.66,-1,4,2.0,2.0,{},{}
49,2015-01-14,2.63,-1,4,2.0,2.0,{},{}
50,2015-01-15,2.52,-1,4,2.0,1.0,{},{}
51,2015-01-16,2.39,-1,4,2.0,0.0,{},{}
52,2015-01-20,2.24,-1,3,1.0,0.0,{},{}
53,2015-01-21,2.45,-1,3,1.0,1.0,{},{}
54,2015-01-22,2.47,-1,3,1.0,1.0,{},{}
55,2015-01-23,2.45,-1,3,2.0,1.0,{},{}
56,2015-01-26,2.61,-1,3,2.0,2.0,"{""2.22"": 1.0}",{}
57,2015-01-27,2.7,-1,4,2.0,3.0,"{""2.22"": 1.0}",{}
58,2015-01-28,2.63,-1,4,2.0,4.0,"{""2.22"": 1.0}",{}
